domain	subset	idx	label	sentence1	sentence2	file
SMTeuroparl	2012train	51	4.667	Clearly, explanations are necessary for the increased incidence of BSE, not only in France but also in other Member States.	We must clearly define the reasons for the increase in the incidence of BSE, not only in France but also in other Member States.	sts-mt
SMTeuroparl	2012train	624	4.4	Question No 6 by (H-0886/00):	Question 6 (H-0886 / 00):  	sts-mt
SMTeuroparl	2012train	153	5.0	When we are faced with a potential risk, it is important to apply the precautionary principle.	When we are faced with a potential risk, it is important to implement the precautionary principle.	sts-mt
SMTeuroparl	2012train	500	4.4	Above all, when a one-man company or a company with fewer than 250 employees has a project, it should not need to provide 120% loan guarantees in the form of land to receive financing; it should also be possible for it to be funded on the basis of a good idea.	Above all, when a company unipersonnelle or a society with fewer than 250 employees has a project, it must be possible to benefit from funding not only with a guaranteed to 120%, but also on the basis of a simple idea:	sts-mt
SMTeuroparl	2012test	11	3.5	We often pontificate here about being the representatives of the citizens of Europe.	We are proud often here to represent the citizens of Europe.	sts-mt
postediting	2016	1311	0.0	But before the course begins, it was for me to appear.	For me, it was clear that I had to be travel a day.	sts-mt
SMTeuroparl	2012train	595	5.0	Thirdly, acceptance of enlargement and its positive prospects for the individual countries and for the EU as a whole basically depend - and Denmark demonstrated this - on dismantling the social and democratic deficits of European policy.	Thirdly, the acceptance of enlargement and its positive prospects for the various countries and for the whole of the EU depend - the example of Denmark is here to show this - largely to the elimination of social and democratic deficits of European policy.	sts-mt
SMTeuroparl	2012test	149	4.25	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We preserve the unanimity to the Counsel and therefore a latent inability to act.	sts-mt
SMTeuroparl	2012train	655	4.4	The UK Labour members of the PES Group welcome the adoption of their contribution to the ongoing work of the IGC on reinforced cooperation, without endorsing every single detail.	The UK Labour Members of the PSE Group welcome the favourable reception reserved for the contribution they have made to the ongoing work of the IGC on reinforced cooperation, without endorsing totally at all the details of this.	sts-mt
surprise.SMTnews	2012test	156	5.0	Putin's Russia has already lost 12 leading journalists to murder in the past six years.	Putin's Russia already lost 12 prominent journalists, murdered during the past six years.	sts-mt
SMTeuroparl	2012train	702	4.2	The lesson for this Parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right.	The lesson for us within this House in its debate this morning is that we are forced to conclude that the laws at sea are, in the world, in a state of chaos, and that we must get down to work to bring order.	sts-mt
surprise.SMTnews	2012test	328	5.0	But they were necessary.	But they were needed.  	sts-mt
SMTeuroparl	2012train	680	4.4	The Committee on Legal Affairs and the Internal Market rightly insists on no upper limit and a minimum of no less than 7%.	It is right that the Committee on Legal Affairs continues in the refusal of a ceiling and the maintenance of a minimum rate which cannot be less than 7%.	sts-mt
SMTeuroparl	2012train	530	4.6	Mr President, I voted for the García-Margallo y Marfil report on the taxation of electronic commerce.	Mr President, I voted in favour of the Garcia-Margallo y Marfil report, which deals with the taxation of services provided electronically.	sts-mt
surprise.SMTnews	2012test	173	5.0	The answer lies in the support that Indonesian pro-democracy activists can generate domestically and internationally.	The answer lies in the support that the Indonesian democrats activists will generate national and internationally.	sts-mt
SMTeuroparl	2012test	222	5.0	The leaders have now been given a new chance and let us hope they seize it.	The leaders are here today to a new chance and let them therefore the take.	sts-mt
SMTeuroparl	2012train	44	4.8	Without doubt, it was better to have no agreement at all than a poor one and it is true that, in this instance, the American proposal was a third-rate proposal, and one which was completely unacceptable to Europe.	Without doubt, was better to have no agreement only have an agreement that is bad and, in this case, the American proposal was a proposal to the rebate, totally unacceptable for Europe.	sts-mt
SMTeuroparl	2012train	385	5.0	B5-0794/2000, by Mr Medina Ortega, Mr Linkohr and Mr Fava, on behalf of the Group of the Party of European Socialists, on the kidnap in Colombia of a Spanish Jesuit engaged in negotiations with the guerillas;	(B5-0794/2000, by Mr Medina Ortega, Linkohr and Fava, on behalf of the Group of the Party of European Socialists, on the kidnapping in Colombia of a Spanish Jesuit engaged in negotiations with the guerillas;	sts-mt
SMTeuroparl	2012train	587	4.6	I stress this point because the market cannot regulate everything, which is why competition is not completely unrestricted, nor should it be.	I stress this point because the market cannot regulate everything and that, in this context, it is not or cannot be competitive without borders.  	sts-mt
SMTeuroparl	2012train	410	4.4	But I would like to say to Parliament this afternoon that we should not lose sight of the fact that the EU spends just 1% of GDP and much of that is administered in the Member States.	Nevertheless, I would like to say to the House this afternoon that we must not lose sight of the fact that the European Union spends only 1% of the GDP of the Member States and that most of this money is managed in the Member States.	sts-mt
surprise.SMTnews	2012test	313	4.75	"The book's success is itself a sign of a kind of ""malaise."""	"The success of the book is in itself a sign of ‘ malaise. """	sts-mt
SMTeuroparl	2012train	302	1.6	We have heard that the previous Council Presidency first restructured and then scrapped the Ministry for Equality.	We have heard that the first and then the inequality of opportunity.  	sts-mt
surprise.SMTnews	2012test	17	5.0	The answer lies in the support that Indonesian pro-democracy activists can generate domestically and internationally.	The answer is in the support that the democratic activists indonésiens will be able to generate nationally and internationally.	sts-mt
SMTeuroparl	2012train	35	4.4	Mr President, ladies and gentlemen, I should like to say a few words on the joint resolution, which will, of course, be passed.	Mr President, ladies and gentlemen, I would like to speak on the joint resolution that obviously we vote.	sts-mt
SMTeuroparl	2012train	187	4.8	Declarations must be followed by concrete steps to trace, freeze, seize and confiscate the proceeds of crime.	The declarations must be followed concrete actions to identify, freeze, seize and confiscate the products of the crime.	sts-mt
surprise.SMTnews	2012test	183	5.0	Yet a process of de-institutionalization of religious experience is also taking place within Islam.	However, a process of de-institutionalisation of religious experience is also happening within Islam.	sts-mt
SMTeuroparl	2012train	449	4.6	That is what we have done: we have avoided a budgetary crisis by going to Article 272; the financial perspective has been maintained, even though we have used the flexibility instrument.	This is what we have done: we have a budget crisis in coming to Article 272; the financial perspectives have been maintained, even if we have used the flexibility instrument.  	sts-mt
SMTeuroparl	2012test	325	3.75	There must be a balance as a whole.	The together must be in balance.	sts-mt
SMTeuroparl	2012train	495	4.8	I think that France has set an excellent example by finally deciding to take this step.	I find exemplary that France will be to take this step.  	sts-mt
surprise.SMTnews	2012test	262	5.0	But America's interest in Iraqi oil was not driven either by economics or energy policy.	But the interests of America for Iraqi oil is not dictated by the economy or by energy policy.	sts-mt
SMTeuroparl	2012train	181	4.6	We have heard that the previous Council Presidency first restructured and then scrapped the Ministry for Equality.	We have heard that the previous presidency first restructured then dismantled the Ministry for equal opportunities.	sts-mt
surprise.SMTnews	2012test	36	4.5	"The old version of the European response--what psychologists might call ""dollar envy""--will only become more acute."	The old version of the European reaction (what the psychologists call “the desire of the dollar”) will become only more penetrating.	sts-mt
SMTeuroparl	2012train	395	3.6	At Feira, the Council considered those countries participating in the Stabilisation and Association Process as potential applicants for membership of the European Union.	In Feira, he recognized the quality of potential candidates to adhesion with the countries taking part in the stabilisation process and of association.	sts-mt
SMTeuroparl	2012test	267	4.25	Unfortunately, others separate on the basis of accumulated hatred.	Other divide unfortunately due to a accumulated ill-will.	sts-mt
surprise.SMTnews	2012test	181	4.5	Today there are two plausible ways to proceed against a deposed tyrant.	Today there are two plausible ways to proceed as regards a burden tyrant.	sts-mt
postediting	2016	1465	0.0	"Especially as it is relatively saturated from the point of view of the provision of services. """	"According Masi, ""the choice of rotating doors is important even from a symbolic point of view."""	sts-mt
SMTeuroparl	2012train	638	3.8	I stress this point because the market cannot regulate everything, which is why competition is not completely unrestricted, nor should it be.	I stress this because the market cannot solve all and that, accordingly, there is not and cannot have competition without limits.	sts-mt
postediting	2016	615	1.0	They have not been that according to the opposition.	If Members of the opposition are in parliament it is because they have been appointed, not elected.	sts-mt
SMTeuroparl	2012train	438	4.6	Do you think that the Austrian model, i.e. bilateral majority resolutions, will be used in future as a way of passing resolutions which bypass the European institutions and of forming a new institution or a new group in order to circumvent unanimity in the Council?	"Do you believe that the Austrian model ""’ – namely bilateral majority decision-making - will in future an instrument to take decisions by ignoring the European institutions and start a new institution, or a new group, to get round the unanimity rule in the Council?"	sts-mt
SMTeuroparl	2012test	332	4.0	There must be a balance as a whole.	The unity must be in balance.	sts-mt
SMTeuroparl	2012train	625	4.6	This is our priority fight in order to ensure that the affirmation of fundamental rights is put into practice in our political decisions.	That is our fight priority for the affirmation of fundamental rights is implemented in political choices.	sts-mt
postediting	2016	3240	5.0	The police began their continued until the vehicle stops two miles up the low-hand, where the two occupants took to flee in a forested area.	The police began their chase until the vehicle stopped two miles up the road, where the two occupants got down to flee into a forested area.	sts-mt
SMTeuroparl	2012train	572	4.2	Secondly, say no to the big bang idea of incorporating candidate countries simultaneously as a large group, since that would militate against the principle that each country should be admitted on its own merits.	Secondly, we must say 'no' to the concept which bang would admit that at the same time an important group of countries, because that would be at odds with the principle of the admission of each country on its merits.	sts-mt
SMTeuroparl	2012test	235	5.0	The leaders have now been given a new chance and let us hope they seize it.	The leaders now have another chance to let them and therefore seize it.	sts-mt
SMTeuroparl	2012train	463	5.0	We have heard that the previous Council Presidency first restructured and then scrapped the Ministry for Equality.	We have heard that the previous presidency was first restructured then dismantled the Ministry of equal opportunities.	sts-mt
SMTeuroparl	2012test	240	4.75	The European Union has got to do something and do it quickly.	It is appropriate that the European Union means and that it should do so quickly.	sts-mt
postediting	2016	900	3.0	When we will not be the most expensive	When we will no longer be the most expensive country	sts-mt
SMTeuroparl	2012train	709	5.0	Question No 6 by (H-0886/00):	Question No 6 by (H-0886/00):	sts-mt
surprise.SMTnews	2012test	374	3.75	More than that, the divisions are reproduced at the local level.	Beyond the geographical division, at local level.  	sts-mt
SMTeuroparl	2012train	713	5.0	The debate is closed.	The debate is closed.  	sts-mt
SMTeuroparl	2012test	430	4.25	Selective aid, such as market support and a grass subsidy, are essential.	Specific aid as the support of the market or the premium to grass is essential.	sts-mt
SMTeuroparl	2012train	14	4.0	There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.	A budget line finance programmes of mine clearance and prevention for years.	sts-mt
SMTeuroparl	2012test	170	3.25	The European Union has got to do something and do it quickly.	The European Union itself and do so quickly.	sts-mt
SMTeuroparl	2012test	34	5.0	It increases the power of the big countries at the expense of the small countries.	It has in fact increased the power of large countries to the detriment of small.	sts-mt
SMTeuroparl	2012train	601	5.0	on the situation in Burma	On the situation in Burma.  	sts-mt
postediting	2016	1504	4.0	They launched a watermelons of their car '.	They launched a watermelon from their car '.	sts-mt
SMTeuroparl	2012train	133	3.6	You do not even intend to incorporate it into the Treaty, evidence indeed that this text, this exercise was always destined to be laid aside.	You do not even want to incorporate into the Treaty, that proves that this text should be set aside.	sts-mt
SMTeuroparl	2012train	704	5.0	The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.	The right to a government to remove arbitrarily its constitution is defining characteristic of a tyranny.	sts-mt
SMTeuroparl	2012train	78	4.0	It is gratifying that Parliament has succeeded in producing a large majority in favour of more openness.	It must be welcomed that the European Parliament has succeeded in bringing together a broad majority in favour of greater transparency.	sts-mt
surprise.SMTnews	2012test	298	3.5	Ahmadinejad is embarking on an adventure; Bernanke is not.	Ahmadinejad boards in an adventure, then.  	sts-mt
SMTeuroparl	2012test	299	5.0	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained in second reading, a crisis is at the basis of this modification of directive.	sts-mt
SMTeuroparl	2012train	144	4.4	We have heard that the previous Council Presidency first restructured and then scrapped the Ministry for Equality.	We have heard that the previous presidency was first restructured can dismantled the Ministry of equal opportunities.	sts-mt
postediting	2016	128	4.0	The Marcel differs from others by his excellent cotton, by his unisex look, with his distinctive logo and by the Belgian flag (barely recognisable) that the most well-known jerseys have on the neck.	The Marcel 's differs from the other by his cotton excellent, by his thumb unisexe, with its distinctive logo and by the Belgian flag (barely recognisable) that the shirts of bodies have the most well-known in the neck.	sts-mt
surprise.SMTnews	2012test	93	5.0	Putin's Russia has already lost 12 leading journalists to murder in the past six years.	The Russia of Putin has already lost 12 prominent journalists, murdered during the last six years.	sts-mt
SMTeuroparl	2012test	220	3.25	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We keep l ' unanimity in Council and therefore a latent inability to act.	sts-mt
SMTeuroparl	2012train	576	2.5	This is no time for the faint-hearted.	This is not the time to show.  	sts-mt
SMTeuroparl	2012train	439	4.4	Knowledge of foreign languages is accepted as a necessary precursor to mobility.	It is accepted that the knowledge of languages is a reference to the mobility.  	sts-mt
SMTeuroparl	2012test	411	3.5	I am one of those Members who attends sittings quite faithfully.	I am one of those Members who are quite properly here.	sts-mt
postediting	2016	41	4.0	With the collapse of the investment bank Lehman Brothers two weeks ago, the allocation of appropriations between banks has again expressed constant significantly, the banks that have accumulated their liquidity.	With the collapse of the investment bank Lehman Brothers two weeks ago, the allocation of appropriations between banks has again been delayed significantly, the banks having accumulated their liquidity.	sts-mt
SMTeuroparl	2012train	666	4.6	I think that France has set an excellent example by finally deciding to take this step.	I think it is exemplary that France is resolved to take this step.	sts-mt
surprise.SMTnews	2012test	104	2.75	But America's interest in Iraqi oil was not driven either by economics or energy policy.	But the interests of the Iraqi people is not dictated by the economy or by energy policy.  	sts-mt
SMTeuroparl	2012test	132	5.0	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment 7 proposes certain modifications in the references to paragraphs.	sts-mt
postediting	2016	274	2.0	This is what we think will bring in more customers.	This is what we think is the most contributions from the point of view of customers.	sts-mt
SMTeuroparl	2012train	192	4.8	Lastly, and most controversially, the committee strongly called for the use of a fast-track procedure to implement this legislation.	Finally, and this is something which is most controversial, the committee has called vehemently to use the fast-track procedure to implement this legislation.	sts-mt
surprise.SMTnews	2012test	130	5.0	Moreover, the main oil exporters are unwilling to subordinate their investment policies to market requirements.	Moreover, the major exporters of oil are not prepared to submit their investment policies to market conditions.	sts-mt
surprise.SMTnews	2012test	185	4.5	Putin's Russia has already lost 12 leading journalists to murder in the past six years.	Russia has already lost 12 distinguished journalists, murdered in the course of the past six years.  	sts-mt
surprise.SMTnews	2012test	293	5.0	But the returns that make US stock markets so attractive reflect a delicate political balance.	But the returns which make markets American Securities so attractive reflect a fragile political balance.	sts-mt
postediting	2016	2073	2.0	Later, the Dow Jones was a little overtaken.	Later, Dow Jones recovered a little.	sts-mt
SMTeuroparl	2012train	166	3.4	This is no time for the faint-hearted.	It is not the moment to be hesitant.	sts-mt
SMTeuroparl	2012train	368	3.6	Action is needed quickly, which is why we decided to include this item on the agenda.	It is an urgent matter and it is to this that we have to put this point to the order of the day.  	sts-mt
SMTeuroparl	2012train	305	5.0	Firstly, simplification and clarification of the Treaties.	First of all, the simplification and clarification of the Treaties.	sts-mt
SMTeuroparl	2012train	707	3.8	He will stand trial on 8 January on charges of having attended a meeting of the Tunisian opposition in France, which he denies.	It happening in trial on 8 January. he is accused of taking part in a meeting of Tunisian opponents in France, what to do deny it.	sts-mt
postediting	2016	1093	3.0	Shortly after, the witness, who initially had not recognised the actress saw Locklear stop in the middle of the motorway and get out of her car.	Shortly after, the witness, who initially had not recognised the actress has given that Locklear has been arrested in the middle of the motorway and is out of his vehicle.	sts-mt
SMTeuroparl	2012train	171	0.0	(Applause)	I have already replied to this point and I agree entirely with what he said about the need to improve considerably the public debate I will not repeat what I said, but it is true that, all too often, citizens feel alienated to decisions that are taken in bodies that they do not know.	sts-mt
SMTeuroparl	2012test	321	5.0	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained at second reading, a crisis is at the root of this amendment to Directive.	sts-mt
SMTeuroparl	2012test	52	5.0	Neither was there a qualified majority within this House to revert to Article 272.	There was no more qualified majority voting in this Parliament to come back to Article 272.	sts-mt
SMTeuroparl	2012train	90	4.2	The lesson for this Parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right.	The lesson that this House in this morning's debate must learn is that we are forced to conclude that the maritime laws are all over the world, in a state of chaos, and that we must set about the task to sort all this out.	sts-mt
postediting	2016	1342	0.0	This is what we think will bring in more customers.	It is better for this way, as they will still need their strength.	sts-mt
SMTeuroparl	2012test	158	4.25	Unfortunately, others separate on the basis of accumulated hatred.	Some separate themselves unfortunately in view of a grudge gained.	sts-mt
SMTeuroparl	2012train	691	4.8	This is our priority fight in order to ensure that the affirmation of fundamental rights is put into practice in our political decisions.	It is our priority combat so that the assertion of fundamental rights is concretized in political choices.	sts-mt
postediting	2016	2475	3.0	But pay attention, the Belgian brand does not make only tank tops.	But attention, because the Belgian brand does not only that the tank tops.	sts-mt
postediting	2016	2071	4.0	The sale price manufacturers to export rose by 1.1 percent compared to those of July 2008, as compared to those of a year ago, they fell by 3.9 percent.	The industrial export sale price rose by 1.1 percent compared to July 2008, while if compared to those of a year ago, it fell by 3.9 percent.	sts-mt
SMTeuroparl	2012train	614	4.6	Worst of all, I believe, is having to issue a warning that a court judgment in their favour may just be a set of comforting words and make no real difference in their lives.	In my view, there is nothing worse than having to warn people that a judgment in their favour could only be a series of reassuring words and have no practical effect on their existence.	sts-mt
SMTeuroparl	2012train	408	4.8	Unfortunately, the ultimate objective of a European Constitution would be precisely the opposite, and so, of course, we cannot vote for it.	Unfortunately, the final objective of a European Constitution would be exactly the opposite and obviously we cannot endorse it.	sts-mt
surprise.SMTnews	2012test	165	4.5	Foremost among these is that economic development is largely in the hands of poor nations themselves.	In the foreground of these lessons, one discovers that economic development is left mainly in the hands of the poor nations themselves.	sts-mt
SMTeuroparl	2012train	705	4.8	After all, it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the Member States are all perfectly satisfactory.	Indeed, it is not at all convinced that the definition of fair price which is proposed is better than another, because the different definitions used in the Member States are sufficient all amply.	sts-mt
SMTeuroparl	2012test	125	5.0	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summed up in a few words: the power of the citizens on bureaucracy.	sts-mt
SMTeuroparl	2012test	91	4.0	Mr President, I rise in defence of the workers in the industry.	Mr President, I would like to make the defence of workers in this sector.	sts-mt
SMTeuroparl	2012train	444	4.25	The Council of Europe, along with the Court of Human Rights, has a wealth of experience of such forms of supervision, and we can build on these.	As the Court of Human Rights, the Council of Europe also has a solid experience with regard to such forms of control we can take it as a basis.	sts-mt
SMTeuroparl	2012test	339	4.0	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have explained, a crisis at second reading is the basis of amendment of the directive.	sts-mt
postediting	2016	3174	2.0	His step-daughter left for Plymouth.	Its beautiful daughter out Plymouth.	sts-mt
surprise.SMTnews	2012test	158	5.0	After all, they recommend the policies that politicians may or may not want to consider.	After all, they recommended policies that politicians or not take into account.	sts-mt
SMTeuroparl	2012test	290	4.333	Unfortunately, others separate on the basis of accumulated hatred.	Others separate themselves unfortunately because of an amassed grudge.	sts-mt
surprise.SMTnews	2012test	134	4.25	It then appointed a task force to formulate the necessary changes in tax and spending policies.	He has appointed a working party to make the necessary changes to the policies of public spending and fiscal policies.	sts-mt
SMTeuroparl	2012train	561	3.6	That is a shameful state of affairs when we consider that the EU itself is a champion of modernised business practice.	It is a shame when they believe that the European Union presents itself as the champion of the modernisation of the life!  	sts-mt
surprise.SMTnews	2012test	35	3.4	He did, but the initiative did not get very far.	What he has done without the initiative goes very far.	sts-mt
SMTeuroparl	2012train	295	0.0	(Applause)	I have already replied on this point and I entirely agree with what he has said about the need to improve considerably the public debate, and I will not repeat what I said, but it is true that, all too often, citizens feel alienated to decisions that are taken in the bodies that they do not know.	sts-mt
SMTeuroparl	2012train	671	4.4	I think that France has set an excellent example by finally deciding to take this step.	I find that France exemplary committed itself to take this step.	sts-mt
surprise.SMTnews	2012test	283	5.0	The bottom line is that when interest rates rise, asset values will fall.	The bottom line is that when interest rates go up, the values of credit fall.	sts-mt
SMTeuroparl	2012train	494	4.0	This rule can be applied equally to all recreational but dangerous drugs when no one but the person consuming the drug is likely to be affected.	This rule can apply besides to all récréationnelles but dangerous drugs in so far as the consumer of drug is the only one to run risks.	sts-mt
SMTeuroparl	2012test	227	5.0	Maij-Weggen report (A5-0323/2000)	The report Maij-Weggen, A5-0323/2000 --	sts-mt
SMTeuroparl	2012train	441	3.25	The Council of Europe, along with the Court of Human Rights, has a wealth of experience of such forms of supervision, and we can build on these.	Just as the Court of Human Rights, the Council of Europe also has a solid experience in terms of such forms of control. We can to base.	sts-mt
SMTeuroparl	2012train	66	4.2	The other viewpoint illustrated by the rapporteur' s initial statement and shared by a number of members is to promote regulations and codes of conduct which are needed in order to establish among insurers ways of organising costs on a mutual basis providing everybody with guaranteed access to high-quality care and to counter the risk of discriminatory practices developing together with risk and client selection.	The other point of view, illustrated by the initial matter of the rapporteur and shared per number of Members, consists in promoting the regulations and the codes of conduct necessary to found, between insurers, the forms of mutualisation of the costs guaranteeing to all the supply of an high quality of care and to counter the risks to see developing discriminatory practices and a risk selection and customers.	sts-mt
SMTeuroparl	2012test	375	2.75	We often pontificate here about being the representatives of the citizens of Europe.	We are often here to represent the European citizens.	sts-mt
SMTeuroparl	2012train	718	4.2	As there is still a lot of uncertainty, we must know what the scientific facts are and what action must be taken.	We need to know today, since we are always in uncertainty, what are the scientific data, what measures are to be taken.	sts-mt
SMTeuroparl	2012test	452	4.25	Then perhaps we could have avoided a catastrophe.	We might have been able to prevent a disaster.	sts-mt
SMTeuroparl	2012train	684	5.0	Mr President, I voted for the García-Margallo y Marfil report on the taxation of electronic commerce.	Mr President, I voted in favour of the García-Margallo y Marfil report, which concerns the taxation of services provided by electronic means.	sts-mt
SMTeuroparl	2012train	654	4.2	Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.	Mr President, the Committee on Citizens' Freedoms and Rights, Justice and we are to retain any prepared very carefully the Karamanou report.	sts-mt
surprise.SMTnews	2012test	118	3.75	The president has fewer powers than it seems, overshadowed particularly by Supreme Guide Ayatollah Ali Khamenei.	The president has less of capacities than it does not appear to with it, and it particuli�rement is particuli�rement eclipsed by the guide supr�me the Ayatollah Ali Khamenei.	sts-mt
SMTeuroparl	2012train	223	4.5	It is this kind of future I would also like to see in the other countries within the European Union.	It is an evolution of this type which I wish in the other States of the European Union.	sts-mt
SMTeuroparl	2012train	649	4.8	On my own behalf and on behalf of my colleagues in the Committee on Fisheries, I would ask you, Madam President, to send Parliament' s condolences to the families of the victims and to the local authorities in both Brittany and in Marín, Galicia, from where the majority of the victims came.	Madam President, I ask you, on behalf of my colleagues in the Committee on Fisheries and on my own behalf, to send a message of condolence from Parliament to the families of the victims and the local authorities of both Brittany that Marín, city of Galicia, where are from most of the victims.	sts-mt
postediting	2016	1035	0.0	We advise you on how to make a choice.	Conseillera, how you choose	sts-mt
SMTeuroparl	2012train	176	3.5	The only instance in which no tax is levied is when the supplier is in a non-EU country and the recipient is in a Member State of the EU.	The only case for which no tax is a delivery is still seen in the European Community from a third country.	sts-mt
SMTeuroparl	2012test	2	4.25	Let me remind you that our allies include fervent supporters of this tax.	I would like to remind you that among our allies, there are strong of this tax.	sts-mt
SMTeuroparl	2012train	195	4.8	This is also the position advocated by the rapporteur, and it is shared by the European People' s Party.	It is the position defended by the rapporteur and shared by the European People's Party.	sts-mt
SMTeuroparl	2012test	81	4.75	It increases the power of the big countries at the expense of the small countries.	Has the effect of increasing the power of the large at the expense of smaller countries.	sts-mt
SMTeuroparl	2012train	169	4.8	Secondly, say no to the big bang idea of incorporating candidate countries simultaneously as a large group, since that would militate against the principle that each country should be admitted on its own merits.	Secondly, we must say 'no' to the concept being recognised that the big bang, but at the same time, a large group of countries, because this would be in contradiction with the principle of the admission of each country on its merits.	sts-mt
SMTeuroparl	2012test	10	4.0	There must be a balance as a whole.	The body must be in balance.	sts-mt
postediting	2016	1248	2.0	The wrong time to spoil the rat of Pozoblanco	Bad weather spoils the fair at Pozoblanco	sts-mt
SMTeuroparl	2012train	502	4.8	On the other hand, we would like to be given a chance to prove to Europe that we are able to develop the constitutional equality of Serbia and Montenegro within Yugoslavia on our own, by recognising the genuine principles of democracy.	In addition, we would like to be likely to prove in Europe which we are able to develop only the constitutional equality of Serbia and Montenegro within Yugoslavia, by recognizing the true democratic principles.	sts-mt
surprise.SMTnews	2012test	132	3.5	What we are witnessing today is a shift from a Muslim identity to an Islamist identity.	Today we are to change a Muslim identity for Islamic identity.	sts-mt
SMTeuroparl	2012train	50	4.857	This is also the position advocated by the rapporteur, and it is shared by the European People' s Party.	That is the position defended by the rapporteur and shared by the European People's Party.	sts-mt
surprise.SMTnews	2012test	323	4.5	Putin, too, also seems to suspect his regime's impotence.	Putin, too, seems suspicion powerlessness of his regime.	sts-mt
surprise.SMTnews	2012test	292	4.75	It then appointed a task force to formulate the necessary changes in tax and spending policies.	Then he appointed a working party to make the necessary changes to the policies of public spending and fiscal policies.	sts-mt
SMTeuroparl	2012train	199	4.6	That was changed in the face of criticism, especially from Ireland and France, and a different spin has now been put on it by the British Chancellor of the Exchequer: it is now being portrayed as a user charge for all, including British lorry drivers.	Faced with the criticism, especially those in Ireland and France, the British Chancellor of the Exchequer, gave a different interpretation: it is now a tax for all users, including the British drivers of heavy goods vehicles.	sts-mt
SMTeuroparl	2012train	105	5.0	The debate is closed.	The debate is closed.	sts-mt
SMTeuroparl	2012train	539	4.6	While withdrawing the resolution, however, I express the conviction that this Parliament would have made its voice heard better if, in anticipation of the Council of Nice, it had devoted a specific and separate resolution to these important and difficult topics of the Intergovernmental Conference, instead of dealing with them in a single resolution that also embraces all the other points on the Council agenda.	In withdrawing our resolution, I am, however, convinced that our Parliament would have made its voice heard in dedicating, in view of the Nice Council, a resolution and traditional so important and so difficult to the Intergovernmental Conference, rather than to deal in the framework of a single resolution including also all the other points of the agenda of the Council.  	sts-mt
surprise.SMTnews	2012test	95	3.2	But US stock prices fell only 5.2% between May 9 and May 24.	But the US prices did not show that a decline in 5.2% between 9 and 24 May.	sts-mt
SMTeuroparl	2012train	542	4.4	The French Presidency thanks you, Madam President, ladies and gentlemen, for this cooperation, for your support and also for the warm reception you have given us.	For this co-operation, for your support and also for your reception, Madam the President, Mesdames and the European Deputies, the French presidency thanks you.	sts-mt
SMTeuroparl	2012train	485	3.6	Either we are in a club or we are out of it and it is particularly important that we accept this.	Either we are part of the club, we are not and we must, therefore, we have to comply with this.  	sts-mt
SMTeuroparl	2012test	372	4.0	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We preserve the unanimity to the Advice and therefore a latent inability to act.	sts-mt
SMTeuroparl	2012train	194	4.8	Therefore, I also believe that this reconciliation is sustainable, but that the government, which has very courageously found a solution to the university issue and to many other issues, needs visible signs of its success, and powerful support, else peace throughout the region will be under threat.	This is why I also think that this reconciliation can hold. However, the government, which very courageously found a solution with the question of the universities and many other problems, needs visible signs of the success as well as strong support, under penalty of seeing the peace threatened as a whole of the area.	sts-mt
SMTeuroparl	2012test	268	3.75	Unfortunately, others separate on the basis of accumulated hatred.	Other diverge unfortunately owing to an accumulated vengeance.	sts-mt
SMTeuroparl	2012train	271	4.0	Finally, I welcome the idea that we should review the implementation of the programme annually.	Finally I accomodate the idea favorably to give us an annual appointment in order to take stock of the setting in uvre program.	sts-mt
SMTeuroparl	2012test	31	4.25	Maij-Weggen report (A5-0323/2000)	Relation Maij-Weggen (A5-0323/2000)	sts-mt
surprise.SMTnews	2012test	67	4.75	Today there are two plausible ways to proceed against a deposed tyrant.	Today there are two ways plausible proceeding against a tyrant deposed.	sts-mt
SMTeuroparl	2012train	604	4.4	The lesson for this Parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right.	The lesson must retain this House in its debate this morning is that we are forced to conclude that the maritime laws are in the world, in a state of mess, and that we must get down to the task of up.	sts-mt
surprise.SMTnews	2012test	143	4.75	In other areas, sharia law is being introduced by force.	In other areas, the Sharia is imposed.  	sts-mt
